"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
334,"Rorix Núñez","MITRADEL","Rorix","Núñez","Director de la oficna de cooperación técnia internacional","ginebra, suiza","suiza","47:8'","""325° Reunión Del Consejo de Aministación de la OIT""","3/10/2016",2016,"3/25/2015","1481.32",,10200,,"pdf","Si"
335,"Vielka Vigil","MITRADEL","Vielka","Vigil","Sub-directora de la oficna de cooperación técnia internacional","ginebra, suiza","suiza","47:8'","""325° Reunión Del Consejo de Aministación de la OIT""","3/19/2016",2016,"3/25/2015","1569.06",,3600,,"pdf","Si"
336,"Mónica Atencio","MITRADEL","Mónica","Atencio","Asistente de la viceministra de trabajo y desarrollo laboral","ginebra, suiza","suiza","47:8'","""325° Reunión Del Consejo de Aministación de la OIT""","3/19/2016",2016,"3/25/2015","1569.06",,3600,,"pdf","Si"
337,"Zulphy Santamaría","MITRADEL","Zulphy","Santamaría","Viceministra de trabajo y desarrollo laboral","cartagena de indias, colombia","colombia","4:-72'","""IX Conferencia Iberoamericana de Ministros de Trabajo, Empleo y Seguridad Social""","5/2/2016",2016,"5/4/2016","1818.4",,750,,"pdf","Si"
338,"Marury Pimentel","MITRADEL","Marury","Pimentel","Jefa de la oficina de genero e igualda de oportunidad laboral","cartagena de indias, colombia","colombia","4:-72'","""IX Conferencia Iberoamericana de Ministros de Trabajo, Empleo y Seguridad Social""","5/2/2016",2016,"5/4/2016","356.8",,1200,,"pdf","Si"
339,"Hernando Rodríguez","MITRADEL","Hernando","Rodriguez","Director de empleo","cartagena de indias, colombia","colombia","4:-72'","""IX Conferencia Iberoamericana de Ministros de Trabajo, Empleo y Seguridad Social""","5/2/2016",2016,"5/4/2016","356.8",,1200,,"pdf","Si"
340,"Magsanda Abrego","MITRADEL","Magsanda","Abrego","Jefa de migación laboral","turín, italia","italia","42,833333:12,833333'","""Integración de la Migración en la Planificación del Desarrollo"" A° 909095","5/23/2016",2016,"5/28/2016","790.1",,1050,,"pdf","Si"
341,"Marisabel Oses","MITRADEL","Marisabel","Oses","Psicóloga de la oficina de genero","turín, italia","italia","42,833333:12,833333'","""Trabajo Decente para los Trabajadores (as) Domésticos (as)","10/17/2016",2016,"10/22/2016",1,,4550,,"pdf","Si"
342,"María Ordoñez","MITRADEL","María","Ordoñez","Jefa de discapacidad","turín, italia","italia","42,833333:12,833333'","""Trabajo Decente para los Trabajadores (as) Domésticos (as)","10/17/2016",2016,"10/22/2016",1,,4550,,"pdf","Si"
343,"Carlos Membreño","MITRADEL","Carlos","Membreño","Asesor del ministro de trabajo y desarrollo laboral","san josé, costa rica","costa rica","10:-84'","""IX Curso Especializado para Funcionarios/as de Estado sobre Utilización del Sistema Interamericano de Protección de Derechos Humanos""","10/10/2016",2016,"10/15/2016",,,2400,,"pdf","Si"
344,"Medardo Rosas","MITRADEL","Medardo","Rosas","Director de la regional de trabajo de la provincia de bocas del toro","montevideo, uruguay","uruguay","-33:-56'","""Inspección de Trabajo como Herramienta de difusión del Trabajo Decente en América Latina""","10/16/2016",2016,"10/22/2016",,"Cubierto Por Aecid",600,,"pdf","Si"
345,"Rolando Fuentes","MITRADEL","Rolando","Fuentes","Subdirector de la dirección de inspección de trabajo","montevideo, uruguay","uruguay","-33:-56'","""Inspección de Trabajo como Herramienta de difusión del Trabajo Decente en América Latina""","10/16/2016",2016,"10/22/2016",,"Cubierto Por Aecid",600,,"pdf","Si"
346,"Zulphy Santamaría","MITRADEL","Zulphy","Santamaría","Viceministra de trabajo y desarrollo laboral","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","""VI Dialogo Regional sobre Mercados Laborales y Seguridad Social""","10/3/2016",2016,"10/8/2016",,"Cubierto Por El Bid",600,,"pdf","Si"
347,"Cynthia Sánchez","MITRADEL","Cynthia","Sánchez","Jefa de la oficina de relaciones publicas","beijín, china","china","35:105'","""Seminario para Prensa y Periodistas de Países Hispanoamericanos""","8/30/2016",2016,"9/13/2016",,"Cubierto Por El Organismo",2400,,"pdf","Si"
348,"Reina Roa","MINSA","Reina","Roa","Directora de planificacion de la salud","mexico","méxico","23:-102'","PARTICIPAR EN EL CURSO Y TALLER ESTRATEGIAS PARA DESARROLLO DE LA CAPACIDAD DE INVESTIGACION PARA EL CONTROL DEL TABACO EN MEXICO Y AMERICA LATINA","7/31/2016",2016,"8/6/2016",,"Cubierto Por El Instituto De Salud Publica De Mexico",600,,"si","Si"
349,"Felicia Tullosh","MINSA","Felicia","Tullosh","Subdirectora general de salud publica","mexico","méxico","23:-102'","PARTICIPAR EN EL TALLER INTERNACIONAL ""GUIAS DE INSTRODUCCION DE LA VACUNA CONTRA EL DENGUE EN AMERICA""","8/2/2016",2016,"8/4/2016",,"Cubierto Por Florida International University Y Fundacion Carlis Slim",200,,"si","Si"
350,"Julio Castillo","MINSA","Julio","Castillo","Director del subsector de agua potable y alcantarillado sanitario","cartagena de indias, colombia","colombia","4:-72'","PARTICIPAR EN EL SIMPOSIO REGIONLA ""AGUA Y SANEAMIENTO EN LA AGENDA 2030: LA RUTA PARA EL DESARROLLO SOSTENIBLE U DEL XXXV CONGRESO INTERAMERICANO DE INGENIERIA SANITARIA Y AMBIENTAL Y EL 59° CONGRESO INTERNACIONAL AGUA, SANEAMIENTO, AMBIENTE Y ENERGIA RENOVABLES","8/17/2016",2016,"8/25/2016",,"Cubierto Por Ops/oms",2000,,"si","Si"
351,"Luis Guerrero","MINSA","Luis","Guerrero","Asesro legal de digesa","mexico","méxico","23:-102'","PARTICIPAR EN EL CURSO REGIONAL DE CAPACITACIÓN: DESARROLLO DE LAS NORMAS DE SEGURIDAD NUCLEAR EN EL MARCO DEL PROYECTO DE COOPERACIÓN TÉCNICA DEL OIEA RLA 9073 “APOYO AL DESARROLLO DE RECURSOS HUMANOS EN LA ESFERA DE LA SEGURIDAD FÍSICA NUCLEAR”, FORMACIÓN DE FORMADORES PARA REPRESENTANTES DE LAS INSTITUCIONES DE CAPACITACIÓN ADUANERAS SOBRE ASPECTOS TÉCNICOS DEL RÉGIMEN DE TRANSFERENCIAS.","8/28/2016",2016,"9/2/2016",,"Cubierto Por Oiea",500,,"si","Si"
352,"Zereth Torres","MINSA","Zereth","Torres","Abogada del despacho superior","seul corea","corea del sur","37:127,5'","PARTICIPAR EN LA V RONDA DE NEGOCIACIÓN, EN EL MARCO DE LA NEGOCIACIÓN PARA LA SUSCRIPCIONES DE UN TRATADO DE LIBRE COMERCIO ENTRE LA REPÚBLICA DE PANAMÁ, JUNTO CON LOS PAÍSES DE CENTROAMÉRICA Y LA REPÚBLICA DE COREA.","8/5/2016",2016,"8/13/2016","3252.28",,4200,,"si","Si"
353,"Armando Barba","MINSA","Armando","Barba","Fucnionario del depto. de proteccion de nutricion","santo domigo, rep. dominicana","república dominicana","19:-70,666667'","PARTICIPAR EN EL TALLER PARA LA PROMOCION DE LA FORITFICACION DEL ARROZ EN AMERICA LATINAY EL CARIBE","8/9/2016",2016,"8/13/2016",,"Cubierto Por El Programa Mundial De Alimentos",400,,"si","Si"
354,"Idalmis Aguilar","MINSA","Idalmis","Aguilar","Farmaceutica de la direccion de farmacias y drogas","bogotá, colombia","colombia","4:-72'","PARTICIPAR EN EL CUARTO SIMPOSIO DEL CAPITULO LATINOAMERICANO DE LA SOCIEDAD INTERNACIONAL DE FARMACOVIGILANCIA","8/24/2016",2016,"8/27/2016",,"Cubierto Por Abbvie",300,,"si","Si"
355,"Maria Mastelari","MINSA","Maria","Mastelari","Funcionria del depato. nac. de epidemiologia","el salvador","el salvador","13,833333:-88,916667'","PARTICIPAR EN ELTALLER DE ANALISIS ESTADISTICOS UTILIZANDO EPI INFO VERSION 7","7/5/2016",2016,"7/11/2016",,"Cubierto Por Se-comisca",600,,"si","Si"
356,"Jazmin Higuera","MINSA","Jazmin","Higuera","Funcionaria del depto. del programa nac. de sida","el salvador","el salvador","13,833333:-88,916667'","PARTICIPAR EN ELTALLER DE ANALISIS ESTADISTICOS UTILIZANDO EPI INFO VERSION 7","7/5/2016",2016,"7/11/2016",,"Cubierto Por Se-comisca",600,,"si","Si"
357,"Alberto Rangel","MINSA","Alberto","Rangel","Supervisor del programa nac. de carnicos del depto. de proteccion de alimentos","republica de vietnam","vietnam","16,166667:107,833333'","PARTICIPAR EN EL GRUPO TÉCNICO DE INSPECTORES EN LA VISITA DE INSPECCIÓN Y AUDITORIA A 20 PLANTAS DE PRODUCTOS ACUÍCOLAS DE CONSUMO HUMANO, DISTRIBUIDAS EN 11 PROVINCIAS DIFERENTES EN LA REPUBLICA DE VIETNAM.","6/30/2016",2016,"7/14/2016",,"Cubierto Por La Republica De Vietnam",2100,,"si","Si"
358,"Ixchel Carrasquilla","MINSA","Ixchel","Carrasquilla","Abogada de la direccion de farmacias y drogas","tegucigalpa, honduras","honduras","15:-86,5'","PARTICIPAR DE LA III RONDA DE NEGOCIACIONES DEL SUBSISTEMA DE INTEGRACIÓN ECONÓMICA CENTROAMERICANO.","7/19/2016",2016,"7/25/2016","723.6",,2400,,"si","Si"
359,"Mario Torrero","MINSA","Mario","Torrero","Jefe del deto. de farmacovigilancia dela direccion de farmacia y drogas","tegucigalpa, honduras","honduras","15:-86,5'","PARTICIPAR DE LA III RONDA DE NEGOCIACIONES DEL SUBSISTEMA DE INTEGRACIÓN ECONÓMICA CENTROAMERICANO.","7/19/2016",2016,"7/25/2016","652.96",,2400,,"si","Si"
360,"Aracelis Arosemena","MINSA","Aracelis","Arosemena","Fucnionaria del depto. de proteccion de alimentos","tegucigalpa, honduras","honduras","15:-86,5'","PARTICIPAR DE LA III RONDA DE NEGOCIACIONES DEL SUBSISTEMA DE INTEGRACIÓN ECONÓMICA CENTROAMERICANO.","7/19/2016",2016,"7/25/2016","652.96",,2400,,"si","Si"
361,"Mariela Zurita","MINSA","Mariela","Zurita","Abogada del depto. de proteccion de alimentos","tegucigalpa, honduras","honduras","15:-86,5'","PARTICIPAR DE LA III RONDA DE NEGOCIACIONES DEL SUBSISTEMA DE INTEGRACIÓN ECONÓMICA CENTROAMERICANO.","7/19/2016",2016,"7/25/2016","652.96",,2400,,"si","Si"
362,"Glizmarluck Checa","MINSA","Glizmarluck","Checa","Funcionaria del depto. de promocion de la salud","tampa, florida","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA VIGESIMA CUARTA CONFERENCIA DE MERCADEO SOCIAL","7/16/2016",2016,"7/19/2016","528.26",,1500,,"si","Si"
363,"Lizbeth Cerezo","MINSA","Lizbeth","Cerezo","Responsable de la vigilancia epidemiologica de la enfermeda del virus del zika","el salvador","el salvador","13,833333:-88,916667'","PARTICIPAR DE LA REUNION REGIONAL DEL GRUPO DE VIGILANCIA DE LA SALUD Y DE CONTROL DE VECTORES DE LOS MINISTERIOS DE SALUD DE CENTROAMERICA Y REPUBLICA DOMINICANA","7/12/2016",2016,"7/15/2016",,"Cubierto Por Se-comisca",300,,"si","Si"
364,"Cecilio Fuentes","MINSA","Cecilio","Fuentes","Fucnionaria del depto. de proteccion de alimentos","tegucigalpa, honduras","honduras","15:-86,5'","PARTICIPAR DE LA REUNION DEL SUBCOMITE DE MEDIDAS SANITARIAS Y FITOSANITARIAS","7/13/2016",2016,"7/16/2016","763.2",,1200,,"si","Si"
365,"Denise Canavaggio","MINSA","Denise","Canavaggio","Gerente de publicidad y comunicación del proyecto saneamiento de la bahia","japón","japón","36:138'","CAPACITACION DE CONTRAPARTES EN JAPON EN EL MARCO DEL PROYECTO DE MEJORAMIENTO DE LA ADMINISTRACION DE AGUAS METROPOLITANAS DE PANAMA","7/4/2016",2016,"7/17/2016",,"Cubierto Por Jica",1950,,"si","Si"
366,"Agustin Ordoñez","MINSA","Agustin","Ordoñez","Sbcoordinador general del proyecto saneamiento de la bahia","japón","japón","36:138'","CAPACITACION DE CONTRAPARTES EN JAPON EN EL MARCO DEL PROYECTO DE MEJORAMIENTO DE LA ADMINISTRACION DE AGUAS METROPOLITANAS DE PANAMA","7/4/2016",2016,"7/17/2016",,"Cubierto Por Jica",1950,,"si","Si"
367,"Yasmira Rojas","MINSA","Yasmira","Rojas","Gerente-socio-ambiental del proyecto saneamiento de la bahia","japón","japón","36:138'","CAPACITACION DE CONTRAPARTES EN JAPON EN EL MARCO DEL PROYECTO DE MEJORAMIENTO DE LA ADMINISTRACION DE AGUAS METROPOLITANAS DE PANAMA","7/4/2016",2016,"7/17/2016",,"Cubierto Por Jica",1950,,"si","Si"
368,"Ricardo Hughes","MINSA","Ricardo","Hughes","Jefe del depto. de sised","atlanta","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN EL ENTRENAMIENTO SOBRE EL MANEJO DE LOS CENTROS DE OPERACIONES DE EMERGENCIAS DE SALUD (COE SALUD)","7/13/2016",2016,"7/17/2016",,"Cubierto Por El Proyecto All Hazards",500,,"si","Si"
369,"Ricardo Hughes","MINSA","Ricardo","Hughes","Jefe del depto. de sised","viena, austria","austria","47,333333:13,333333'","PARTICIPAR EN LA 8ª REUNIÓN DE LOS REPRESENTANTES DE LAS AUTORIDADES COMPETENTES IDENTIFICADAS EN VIRTUD DE LAS CONVENCIONES SOBRE LA PRONTA NOTIFICACIÓN DE ACCIDENTES NUCLEARES Y LA CONVENCIÓN SOBRE ASISTENCIA EN CASO DE ACCIDENTES NUCLEAR O EMERGENCIA RADIOLÓGICA.","7/4/2016",2016,"7/11/2016",,"Cubierto Por Oiea",1050,,"si","Si"
370,"Maria Esquivel","MINSA","Maria","Esquivel","Autoridad de coordinadora nacional","paraguay","paraguay","-22,993333:-57,996389'","PARTICIPAR EN LA XVIII REUNIÓN REGIONAL DE LAS AUTORIDADES NACIONALES DE LOS ESTADOS PARTES DE AMÉRICA LATINA Y EL CARIBE.","6/27/2016",2016,"7/1/2016",,"Cubierto Por Opaq",400,,"si","Si"
371,"Yoani Gonzalez","MINSA","Yoani","Gonzalez","Tecnica de la unidad nacional de ozono de panama","ginebra, suiza","suiza","47:8'","PARTICIPAR EN EL TALLER GLOBAL PARA MEJORAR LA COOPERACIÓN NACIONAL Y LA COORDINACIÓN PARA LA IMPLEMENTACIÓN DE LOS CONVENIOS DE BASILEA, ROTTERDAM Y ESTOCOLMO.","7/19/2016",2016,"7/24/2016",,"Cubierto Por El Convenio De Basilea Rotterdam Y Estocolmo",750,,"si","Si"
372,"Cecilio Tejeira","MINSA","Cecilio","Tejeira","Coordinador de la oficina de asuntos internacionales y cooperacion tecnica","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA 158° SESION DEL COMITÉ EJECUTIVO DE LA ORGANIZACIÓN PANAMERICANA DE LA SALUD","7/19/2016",2016,"7/25/2016",,"Cubierto Por Ops/oms",3000,,"si","Si"
373,"Iritzel Santamaria","MINSA","Iritzel","Santamria","Subdirectora de planificacion de la salud","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA 158° SESION DEL COMITÉ EJECUTIVO DE LA ORGANIZACIÓN PANAMERICANA DE LA SALUD","7/19/2016",2016,"7/25/2016",,"Cubierto Por Ops/oms",3000,,"si","Si"
374,"Vicenta Rios","MINSA","Vicenta","Rios","Fucnionario de la direccion de promocion de la salud","copenhague, dinamarca","dinamarca","56:10'","PARTICIPAR EN EL TALLER SOBRE EPAQUETADO NEUTRO DE PRODUCTOS DE TABACO","6/5/2016",2016,"6/10/2016",,"Cubierto Por Ops/oms",750,,"si","Si"
375,"Isabel Lloyd","MINSA","Isabel","Lloyd","Funcionario del programa de salud sexual y reproductiva","santo domigo, rep. dominicana","república dominicana","19:-70,666667'","PARTICIPAR DEL TALLER SUBREGIONAL PARA DIFUSION DEL SISTEMA DE VIGILANCIA WEB DE LA MORTALIDAD MATERNA","6/15/2016",2016,"6/18/2016",,"Cubierto Por Ops/oms",300,,"si","Si"
376,"Anayansi Tejada","MINSA","Anayansi","Tejada","Funcionaria del depto. de estadistica de la direccion de planificacion","santo domigo, rep. dominicana","república dominicana","19:-70,666667'","PARTICIPAR DEL TALLER SUBREGIONAL PARA DIFUSION DEL SISTEMA DE VIGILANCIA WEB DE LA MORTALIDAD MATERNA","6/15/2016",2016,"6/18/2016",,"Cubierto Por Ops/oms",300,,"si","Si"
377,"Maritza Nieto","MINSA","Maritza","Nieto","Coordinador del programa de salud sexual y reproductiva","santo domigo, rep. dominicana","república dominicana","19:-70,666667'","PARTICIPAR DEL TALLER SUBREGIONAL PARA DIFUSION DEL SISTEMA DE VIGILANCIA WEB DE LA MORTALIDAD MATERNA","6/15/2016",2016,"6/18/2016",,"Cubierto Por Ops/oms",300,,"si","Si"
378,"Adriana Chung","MINSA","Adriana","Chung","Pediatra en el programa de niñez y adolecencia","guatemala","guatemala","15,5:-90,25'","PARTICIPAR EN LA CONSULTA SUBREGIONAL PARA AMERICA CENTRAL Y EL CARIBE HISPANOPARLANTE SOBRE EDUCACION INTEGRAL EN PUBERTA Y SEXUALIDAD","6/27/2016",2016,"6/30/2016",,"Cubierto Por Unesco",300,,"si","Si"
379,"Aurelio Nuñez","MINSA","Aurelio","Nuñez","Jefe del programa nac. its/vih/sida","san josé, costa rica","costa rica","10:-84'","PARTICIPAR EN LA REUNION DE TRASPASO DE PRESIDENCIA JUNTA DIRECTIVA SEGUNDOPERIODO 2016- 2018","6/19/2016",2016,"6/23/2016",,"Cubierto Por Sica/mcr",400,,"si","Si"
380,"Aurelio Nuñez","MINSA","Aurelio","Nuñez","Jefe del programa nac. its/vih/sida","tegucigalpa, honduras","honduras","15:-86,5'","PARTICIPAR EN LA XLIV REUNION EXTRAORDINARIA DEL COMISCA","6/27/2016",2016,"6/29/2016",,"Cubierto Por Mcr",200,,"si","Si"
381,"Aurelio Nuñez","MINSA","Aurelio","Nuñez","Jefe del programa nac. its/vih/sida","nueva york","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA REUNION DE ALTO NIVEL PARA PONER FIN AL SIDA","6/7/2016",2016,"6/11/2016","718.16",,2000,,"si","Si"
382,"Felicia Tuloch","MINSA","Felicia","Tuloch","Subdirectora de la direccion general de salud publica","nueva york","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA REUNION DE ALTO NIVEL PARA PONER FIN AL SIDA","6/7/2016",2016,"6/11/2016","696.76",,2000,,"si","Si"
383,"Eric Ulloa","MINSA","Eric","Ulloa","Viceministro de salud","honduras","honduras","15:-86,5'","PARTICIPAR EN LA XLIV REUNION EXTRAORDINARIA DEL COMISCA Y DEL LANZAMIENTO DE LA PLATAFORMA INFORMATICA QUE SUSTENTA EL RECONOCIMIENTO MUTUA DE REGISTRO SANITARIO EN LA REGION","6/27/2016",2016,"6/30/2016",,"Cubierto De Comisca",375,,"si","Si"
